skill_url,skill_name,skill_description,prerequisite_name
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,supervise correctional procedures,"Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety.",['correctional procedures']
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,perform toxicological studies,"Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.",['toxicology']
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,apply diplomatic principles,"Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise.",['diplomatic principles']
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,lead police investigations,"Lead investigations in police cases, which involves establishing an investigation strategy, contacting experts, being able to use different methods and points of view, and leading investigative staff.",['check methods']
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,check train engines,Ensure that train engines comply with regulations before commencing a journey.,['mechanics of trains']
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,manufacture ingredients,"Manufacture ingredients such as spices, additives and vegetables.","['bakery ingredients', 'food product ingredients', 'ingredients for ice cream manufacturing', 'functional properties of foods']"
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,apply credit risk policy,Implement company policies and procedures in the credit risk management process. Permanently keep company's credit risk at a manageable level and take measures to avoid credit failure.,['credit control processes']
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,handle customer requests related to cargo,"Handle requests of port users and customers in the field of containers, shipping arrangements or cargo.","['international regulations for cargo handling', 'national regulations on handling cargo']"
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,produce guitar components,"Choose the appropriate tonewood, materials and tools, and build the different guitar components such as the sound board, fretboard, headstock, neck and bridge.",['types of guitars']
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,operate agricultural machinery,"Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment.","['agricultural equipment', 'functionalities of machinery']"
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,manufacture wearing apparel products,"Manufacture either mass-product or bespoke wearing apparels of various types, assembling and joining together wearing apparel components using processes such as sewing, gluing, bonding. Assemble wearing apparel components using stitches, seams such as collars, sleeves, top fronts, top backs, pockets.","['prototyping in the wearing apparel industry', 'manufacturing of wearing apparel', 'manufacturing of fur products']"
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,cure tobacco leaves,"Remove the moisture out of the tobacco leaves directly after harvesting them through various processes such as air curing, flue curing or sun curing.","['curing methods for tobacco leaves', 'variety of tobacco leaves']"
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a rehabilitation programme,Develop a rehabilitation programme to help patients rebuild their skills and restore their confidence.,['rehabilitation']
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,manage university department,"Supervise and assess the university support practices, students' well-being, and teachers' performance.",['university procedures']
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,['terminology']
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,repair electric bicycles,"Inspect the functioning of the electrical components, wiring, and fuses. Check for damage and malfunctions and determine the cause. Dismantle and repair bicycle components, such as add-on drives, switching systems, power supply systems and lightning systems. Adjust mechanical and electronic switchgear, drives, brake systems and chassis components. Check the bicycle's operating fluids and see if it needs refills or changes.",['electric bicycles']
